Ensembl_gene_id,Ensembl_transcript_id,Gnomad_oe_lof_score,Gnomad_oe_ci_lower,Gnomad_oe_ci_upper,Gnomad_pLI_score,Gnomad_pnull_score,Gnomad_prec_score,Gnomad_oe_mis_score,Gnomad_mis_z_score
ENSG00000121410,ENST00000263100,0.95603,0.75098,1.2292,6.7352e-15,0.61708,0.38292,1.0264,-0.29516
ENSG00000121410,ENST00000600966,0.77585,0.55025,1.1172,2.162e-06,0.12382,0.87618,0.96452,0.30779
ENSG00000148584,ENST00000282641,0.69706,0.55302,0.88662,1.1472e-11,0.0078105,0.99219,0.90836,1.0479
ENSG00000148584,ENST00000373993,0.66435,0.52455,0.84945,1.6194e-10,0.0034976,0.9965,0.90783,1.0615
ENSG00000148584,ENST00000373995,0.75595,0.60505,0.95243,7.9808e-14,0.031359,0.96864,0.91459,0.97931
ENSG00000148584,ENST00000373997,0.69706,0.55302,0.88662,1.1472e-11,0.0078105,0.99219,0.90836,1.0479
ENSG00000148584,ENST00000374001,0.69706,0.55302,0.88662,1.1472e-11,0.0078105,0.99219,0.90836,1.0479
ENSG00000148584,ENST00000395489,0.72289,0.57612,0.91499,1.1415e-12,0.014229,0.98577,0.91397,0.99339
ENSG00000148584,ENST00000395495,0.75595,0.60505,0.95243,7.9808e-14,0.031359,0.96864,0.91459,0.97931
ENSG00000148584,ENST00000414883,0.58307,0.37962,0.92701,0.0040188,0.034114,0.96187,0.89371,0.72088
ENSG00000175899,ENST00000318602,0.69587,0.60292,0.80586,2.3775000000000003e-29,1.9847e-05,0.99998,0.8363,2.9519
ENSG00000175899,ENST00000404455,0.55244,0.3408,0.93706,0.019225,0.040283,0.94049,0.86757,0.80214
ENSG00000175899,ENST00000539638,,,,,,,0.92242,0.34278
ENSG00000175899,ENST00000546069,,,,,,,0.86315,0.54043
ENSG00000166535,ENST00000299698,0.88516,0.77877,1.0088,4.894e-48,0.77996,0.22004,0.94451,0.99517
ENSG00000166535,ENST00000536789,1.0303,0.62106,1.7978,0.0004413,0.32176,0.6778,0.81814,0.75243
ENSG00000166535,ENST00000537475,,,,,,,1.057,-0.35936
ENSG00000166535,ENST00000539547,0.8591,0.73298,1.0111,2.2901000000000002e-30,0.33312,0.66688,0.94942,0.73757
ENSG00000166535,ENST00000541459,0.86663,0.74103,1.0176,1.6967e-31,0.41134,0.58866,0.94406,0.83479
ENSG00000166535,ENST00000545692,0.445,0.25307,0.83585,0.19426,0.02367,0.78207,0.94669,0.33866
ENSG00000184389,ENST00000442999,0.84338,0.55701,1.3185,5.6308e-05,0.2114,0.78854,1.2222,-2.1
ENSG00000128274,ENST00000249005,,,,,,,1.0534,-0.50238
ENSG00000128274,ENST00000381278,,,,,,,1.0534,-0.50238
ENSG00000128274,ENST00000401850,,,,,,,1.0534,-0.50238
ENSG00000128274,ENST00000642412,,,,,,,1.0534,-0.50238
ENSG00000118017,ENST00000236709,0.72034,0.39442,1.4218,0.01744,0.15566,0.8269,0.90408,0.83536
ENSG00000094914,ENST00000209873,0.79336,0.64455,0.98362,1.2767e-16,0.065604,0.9344,0.95788,0.4708
ENSG00000094914,ENST00000394384,0.81675,0.66128,1.0164,1.3985e-16,0.11966,0.88034,0.97196,0.30344
ENSG00000094914,ENST00000547757,0.76977,0.52114,1.1691,4.2828e-05,0.13579,0.86417,0.97792,0.11854
ENSG00000094914,ENST00000548931,0.70205,0.53207,0.93873,2.0315e-08,0.02556,0.97444,0.93607,0.57963
ENSG00000094914,ENST00000550286,0.7061,0.55162,0.91328,1.6629e-10,0.01513,0.98487,0.91657,0.81933
ENSG00000081760,ENST00000316519,0.83061,0.68411,1.0149,7.6017e-20,0.153,0.847,0.98167,0.23219
ENSG00000081760,ENST00000418937,,,,,,,1.26,-1.4851
ENSG00000114771,ENST00000232892,0.7473,0.51143,1.1209,3.4403e-05,0.11108,0.88889,0.98124,0.17418
ENSG00000114771,ENST00000488869,0.66651,0.41117,1.1305,0.0039217,0.09587,0.90021,1.0201,-0.13485
ENSG00000197953,ENST00000356517,1.0307,0.74163,1.4603,9.2242e-09,0.53413,0.46587,0.97746,0.21126
ENSG00000197953,ENST00000445270,,,,,,,0.9907,0.031373
ENSG00000188984,ENST00000359318,0.95469,0.62157,1.5179,3.778e-05,0.31268,0.68728,1.0396,-0.37708
